ngram,noun,adjective,year,count
wellbeing_noun=>gross_adj,wellbeing,gross,1916,3
wellbeing_noun=>gross_adj,wellbeing,gross,1971,4
wellbeing_noun=>gross_adj,wellbeing,gross,1972,3
wellbeing_noun=>gross_adj,wellbeing,gross,1973,4
wellbeing_noun=>gross_adj,wellbeing,gross,1980,4
wellbeing_noun=>gross_adj,wellbeing,gross,1986,1
wellbeing_noun=>gross_adj,wellbeing,gross,2005,6
wellbeing_noun=>gross_adj,wellbeing,gross,2007,6
wellbeing_noun=>gross_adj,wellbeing,gross,2011,3
wellbeing_noun=>gross_adj,wellbeing,gross,2013,7
wellbeing_noun=>gross_adj,wellbeing,gross,2014,16
wellbeing_noun=>gross_adj,wellbeing,gross,2016,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1954,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1971,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1972,3
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1974,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1976,4
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1977,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1978,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1980,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1982,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1983,5
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1984,4
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1985,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1986,5
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1987,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1988,2
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1989,2
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1990,2
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1991,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1992,4
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1994,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1995,3
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1996,5
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1997,3
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1998,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,1999,8
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2000,1
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2001,6
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2002,11
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2003,11
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2004,4
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2005,4
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2006,12
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2007,8
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2008,7
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2009,12
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2010,16
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2011,17
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2012,21
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2013,18
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2014,18
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2015,21
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2016,16
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2017,28
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2018,19
wellbeing_noun=>ongoing_adj,wellbeing,ongoing,2019,29
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2005,1
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2007,2
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2008,2
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2010,2
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2011,1
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2012,2
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2013,8
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2014,1
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2015,6
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2016,11
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2017,8
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2018,3
wellbeing_noun=>hedonic_adj,wellbeing,hedonic,2019,10
wellbeing_noun=>ecological_adj,wellbeing,ecological,1966,5
wellbeing_noun=>ecological_adj,wellbeing,ecological,1967,3
wellbeing_noun=>ecological_adj,wellbeing,ecological,1968,2
wellbeing_noun=>ecological_adj,wellbeing,ecological,1970,5
wellbeing_noun=>ecological_adj,wellbeing,ecological,1971,1
wellbeing_noun=>ecological_adj,wellbeing,ecological,1972,4
wellbeing_noun=>ecological_adj,wellbeing,ecological,1973,6
wellbeing_noun=>ecological_adj,wellbeing,ecological,1974,2
wellbeing_noun=>ecological_adj,wellbeing,ecological,1975,1
wellbeing_noun=>ecological_adj,wellbeing,ecological,1976,14
wellbeing_noun=>ecological_adj,wellbeing,ecological,1977,4
wellbeing_noun=>ecological_adj,wellbeing,ecological,1978,6
wellbeing_noun=>ecological_adj,wellbeing,ecological,1979,1
wellbeing_noun=>ecological_adj,wellbeing,ecological,1981,1
wellbeing_noun=>ecological_adj,wellbeing,ecological,1983,1
wellbeing_noun=>ecological_adj,wellbeing,ecological,1984,5
wellbeing_noun=>ecological_adj,wellbeing,ecological,1985,4
wellbeing_noun=>ecological_adj,wellbeing,ecological,1986,5
wellbeing_noun=>ecological_adj,wellbeing,ecological,1987,6
wellbeing_noun=>ecological_adj,wellbeing,ecological,1988,11
wellbeing_noun=>ecological_adj,wellbeing,ecological,1989,8
wellbeing_noun=>ecological_adj,wellbeing,ecological,1990,11
wellbeing_noun=>ecological_adj,wellbeing,ecological,1991,29
wellbeing_noun=>ecological_adj,wellbeing,ecological,1992,12
wellbeing_noun=>ecological_adj,wellbeing,ecological,1993,27
wellbeing_noun=>ecological_adj,wellbeing,ecological,1994,20
wellbeing_noun=>ecological_adj,wellbeing,ecological,1995,19
wellbeing_noun=>ecological_adj,wellbeing,ecological,1996,17
wellbeing_noun=>ecological_adj,wellbeing,ecological,1997,18
wellbeing_noun=>ecological_adj,wellbeing,ecological,1998,33
wellbeing_noun=>ecological_adj,wellbeing,ecological,1999,10
wellbeing_noun=>ecological_adj,wellbeing,ecological,2000,18
wellbeing_noun=>ecological_adj,wellbeing,ecological,2001,20
wellbeing_noun=>ecological_adj,wellbeing,ecological,2002,30
wellbeing_noun=>ecological_adj,wellbeing,ecological,2003,23
wellbeing_noun=>ecological_adj,wellbeing,ecological,2004,26
wellbeing_noun=>ecological_adj,wellbeing,ecological,2005,49
wellbeing_noun=>ecological_adj,wellbeing,ecological,2006,19
wellbeing_noun=>ecological_adj,wellbeing,ecological,2007,23
wellbeing_noun=>ecological_adj,wellbeing,ecological,2008,26
wellbeing_noun=>ecological_adj,wellbeing,ecological,2009,27
wellbeing_noun=>ecological_adj,wellbeing,ecological,2010,76
wellbeing_noun=>ecological_adj,wellbeing,ecological,2011,24
wellbeing_noun=>ecological_adj,wellbeing,ecological,2012,66
wellbeing_noun=>ecological_adj,wellbeing,ecological,2013,69
wellbeing_noun=>ecological_adj,wellbeing,ecological,2014,86
wellbeing_noun=>ecological_adj,wellbeing,ecological,2015,46
wellbeing_noun=>ecological_adj,wellbeing,ecological,2016,88
wellbeing_noun=>ecological_adj,wellbeing,ecological,2017,112
wellbeing_noun=>ecological_adj,wellbeing,ecological,2018,58
wellbeing_noun=>ecological_adj,wellbeing,ecological,2019,59
wellbeing_noun=>western_adj,wellbeing,western,1976,1
wellbeing_noun=>western_adj,wellbeing,western,1978,9
wellbeing_noun=>western_adj,wellbeing,western,1979,1
wellbeing_noun=>western_adj,wellbeing,western,1980,18
wellbeing_noun=>western_adj,wellbeing,western,1981,2
wellbeing_noun=>western_adj,wellbeing,western,1982,1
wellbeing_noun=>western_adj,wellbeing,western,1984,2
wellbeing_noun=>western_adj,wellbeing,western,1985,2
wellbeing_noun=>western_adj,wellbeing,western,1989,2
wellbeing_noun=>western_adj,wellbeing,western,1990,2
wellbeing_noun=>western_adj,wellbeing,western,1991,3
wellbeing_noun=>western_adj,wellbeing,western,1996,1
wellbeing_noun=>western_adj,wellbeing,western,1997,1
wellbeing_noun=>western_adj,wellbeing,western,1998,2
wellbeing_noun=>western_adj,wellbeing,western,2005,1
wellbeing_noun=>western_adj,wellbeing,western,2007,1
wellbeing_noun=>western_adj,wellbeing,western,2008,2
wellbeing_noun=>western_adj,wellbeing,western,2009,2
wellbeing_noun=>western_adj,wellbeing,western,2010,4
wellbeing_noun=>western_adj,wellbeing,western,2011,1
wellbeing_noun=>western_adj,wellbeing,western,2012,2
wellbeing_noun=>western_adj,wellbeing,western,2016,1
wellbeing_noun=>western_adj,wellbeing,western,2017,4
wellbeing_noun=>western_adj,wellbeing,western,2018,1
wellbeing_noun=>western_adj,wellbeing,western,2019,4
wellbeing_noun=>critical_adj,wellbeing,critical,1931,2
wellbeing_noun=>critical_adj,wellbeing,critical,1974,2
wellbeing_noun=>critical_adj,wellbeing,critical,1980,1
wellbeing_noun=>critical_adj,wellbeing,critical,1984,1
wellbeing_noun=>critical_adj,wellbeing,critical,1993,2
wellbeing_noun=>critical_adj,wellbeing,critical,1994,1
wellbeing_noun=>critical_adj,wellbeing,critical,1995,6
wellbeing_noun=>critical_adj,wellbeing,critical,1997,1
wellbeing_noun=>critical_adj,wellbeing,critical,1999,1
wellbeing_noun=>critical_adj,wellbeing,critical,2000,1
wellbeing_noun=>critical_adj,wellbeing,critical,2002,3
wellbeing_noun=>critical_adj,wellbeing,critical,2005,1
wellbeing_noun=>critical_adj,wellbeing,critical,2006,1
wellbeing_noun=>critical_adj,wellbeing,critical,2009,4
wellbeing_noun=>critical_adj,wellbeing,critical,2010,1
wellbeing_noun=>critical_adj,wellbeing,critical,2011,2
wellbeing_noun=>critical_adj,wellbeing,critical,2013,1
wellbeing_noun=>critical_adj,wellbeing,critical,2014,7
wellbeing_noun=>critical_adj,wellbeing,critical,2016,7
wellbeing_noun=>critical_adj,wellbeing,critical,2017,1
wellbeing_noun=>critical_adj,wellbeing,critical,2018,1
wellbeing_noun=>critical_adj,wellbeing,critical,2019,4
